brand,model,1_upper,1_lower,2_upper,2_lower,3_upper,3_lower,4_upper,4_lower,5_upper,5_lower,6_upper,6_lower,7_upper,7_lower,8_upper,8_lower,9_upper,9_lower,10_upper,10_lower
长安系列（含河北.南京）,1026SIN(双排),3,0,0,2,1,0,2,0,0,0,0,0,2,2,1,2,2,2,1,1
长安系列（含河北.南京）,CS75,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0
重庆渝安车型尺寸表,V27,0,1,1,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,1,1
长安系列（含河北.南京）,1029SC4,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
重庆渝安车型尺寸表,K05(厢车),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
五菱,6465,2,0,0,0,0,0,1,0,2,0,1,2,1,0,0,0,1,0,1,1
五菱,1029,0,1,1,1,4,0,1,2,0,0,0,0,1,1,1,1,1,1,1,0
楼兰,楼兰,0,0,1,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,1,0
重庆现代,拉菲斯塔,0,2,0,0,0,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0
长安系列（含河北.南京）,逸动,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,2,0,2,0,2
