brand,model,1_upper,1_lower,2_upper,2_lower,3_upper,3_lower,4_upper,4_lower,5_upper,5_lower,6_upper,6_lower,7_upper,7_lower,8_upper,8_lower,9_upper,9_lower,10_upper,10_lower,11_upper,11_lower
重庆渝安车型尺寸表,c31s,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,3,4,3,0,3
长安系列（含河北.南京）,1026WI(1.5排）,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
长安系列（含河北.南京）,CS35,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
东风渝安,K07(客车)二代,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
东风渝安,c31（单排货车）,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
重庆渝安车型尺寸表,东风渝安c37,3,2,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
长安系列（含河北.南京）,悦翔三厢,0,2,0,1,0,2,0,1,0,0,0,1,0,1,0,2,0,1,0,1,0,1
五菱,6442,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0
河北长安各车型外廓尺寸,1027SG4,0,1,0,0,4,1,2,0,2,2,0,0,1,0,3,1,4,0,0,0,2,0
五菱,5024,2,0,5,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
力帆,力帆（迈威）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
