brand,model,1_upper,1_lower,2_upper,2_lower,3_upper,3_lower,4_upper,4_lower,5_upper,5_lower,6_upper,6_lower,7_upper,7_lower,8_upper,8_lower,9_upper,9_lower,10_upper,10_lower,11_upper,11_lower,12_upper,12_lower
东风渝安,V07S,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
长安系列（含河北.南京）,7155（cs55),0,2,0,0,1,3,0,1,0,2,0,2,3,1,1,0,5,2,0,2,0,0,0,1
重庆渝安车型尺寸表,K05(厢车),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
东风渝安,V22,1,0,2,1,2,0,1,2,2,0,1,0,1,2,2,0,0,0,1,0,0,2,2,0
五菱,6478,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
长城,QA60A/大双,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
铃木,天语二厢,1,1,0,2,2,0,1,1,1,1,0,1,1,2,0,1,0,1,1,1,1,1,1,0
五菱,荣光,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
河北长安各车型外廓尺寸,1027SG4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
长安系列（含河北.南京）,6418（金牛星）,0,0,1,1,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
五菱,荣光V/6446,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
重庆渝安车型尺寸表,问界m7,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
